ID,Element ID,XPath
0,_goober,"id(""_goober"")"
1,__next,"id(""__next"")"
2,attend-hero,"id(""attend-hero"")"
3,1-button,"id(""1-button"")"
4,2-button,"id(""2-button"")"
5,3-button,"id(""3-button"")"
6,4-button,"id(""4-button"")"
7,5-button,"id(""5-button"")"
8,6-button,"id(""6-button"")"
9,7-button,"id(""7-button"")"
10,8-button,"id(""8-button"")"
11,9-button,"id(""9-button"")"
12,10-button,"id(""10-button"")"
13,speakers-button,"id(""speakers-button"")"
14,teams-button,"id(""teams-button"")"
15,1,"id(""1"")"
16,2,"id(""2"")"
17,3,"id(""3"")"
18,4,"id(""4"")"
19,5,"id(""5"")"
20,6,"id(""6"")"
21,7,"id(""7"")"
22,clip0_9856_2522,"id(""clip0_9856_2522"")"
23,clip0_9856_2522,"id(""clip0_9856_2522"")"
24,clip0_9856_2522,"id(""clip0_9856_2522"")"
25,clip0_9856_2522,"id(""clip0_9856_2522"")"
26,8,"id(""8"")"
27,9,"id(""9"")"
28,10,"id(""10"")"
29,speakers,"id(""speakers"")"
30,teams,"id(""teams"")"
31,attend-event,"id(""attend-event"")"
32,footer-heading,"id(""footer-heading"")"
33,clip0,"id(""clip0"")"
34,__NEXT_DATA__,"id(""__NEXT_DATA__"")"
35,__next-route-announcer__,"id(""__next-route-announcer__"")"
36,,BODY/SCRIPT[2]
37,,BODY/SCRIPT[3]
38,,BODY/SCRIPT[4]
39,,BODY/SCRIPT[5]
40,,BODY/SCRIPT[6]
41,fullscreen-ui,"id(""fullscreen-ui"")"
42,tooltip-container-wrapper,"id(""tooltip-container-wrapper"")"
43,notifications-root,"id(""notifications-root"")"
